# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	7086
#@/user_id	76c8a36a-966b-414b-94e3-75dde62f30cd
ding 	顶	c=1 d=0.484324 t=7086
ding dan 	订单	c=18 d=0.0146992 t=7086
ding le 	定了	c=0 d=8.27663e-12 t=7086
ding le mei you 	定了没有	c=1 d=8.31812e-11 t=7086
ding shang 	顶上	c=1 d=0.44264 t=7086
ding wei 	定位	c=1 d=0.00489275 t=7086
ding yi 	定义	c=1 d=0.0593087 t=7086
ding yi hao 	定义好	c=1 d=2.36437e-06 t=7086
ding zhi 	定制	c=1 d=0.529935 t=7086
dong 	动	c=0 d=1.8325e-09 t=7086
dong fang 	东方	c=1 d=1.86019e-08 t=7086
dong gong deng 	动宫灯	c=1 d=1.84168e-08 t=7086
dong jie 	冻结	c=1 d=1.29424e-05 t=7086
dong tai 	动态	c=6 d=0.00073365 t=7086
dong xi 	东西	c=3 d=0.504095 t=7086
dou 	都	c=11 d=0.822834 t=7086
dou hao 	逗号	c=1 d=1.86501e-09 t=7086
dou hao 	都好	c=2 d=3.70215e-09 t=7086
dou ping 	都平	c=1 d=1.83724e-09 t=7086
dou shi 	都是	c=3 d=0.0614212 t=7086
dou yong 	都用	c=1 d=4.53999e-05 t=7086
dou you 	都有	c=1 d=3.4153e-09 t=7086
du 	度	c=1 d=0.0222592 t=7086
du 	杜	c=1 d=0.0223708 t=7086
du li 	独立	c=1 d=0.000978001 t=7086
duan 	段	c=2 d=0.0190696 t=7086
duan 	端	c=2 d=0.0464823 t=7086
dui 	对	c=4 d=0.210136 t=7086
dui bi 	对比	c=27 d=1.3375 t=7086
dui bu dui 	对不对	c=2 d=0.343542 t=7086
dui bu shang 	对不上	c=1 d=1.03865e-05 t=7086
dui jie 	对接	c=10 d=0.835125 t=7086
dui jie wan 	对接完	c=1 d=2.18824e-07 t=7086
dui ni 	对你	c=1 d=0.226502 t=7086
dui xiang 	对象	c=4 d=7.41943e-10 t=7086
dui ying 	对应	c=1 d=2.88883e-10 t=7086
dui yu 	对于	c=1 d=5.97806e-07 t=7086
duo 	多	c=2 d=2.78767e-09 t=7086
duo ci 	多次	c=3 d=1.18025 t=7086
duo ge 	多个	c=2 d=0.439825 t=7086
duo jiu 	多久	c=1 d=0.0788664 t=7086
duo shao 	多少	c=1 d=1.31425e-09 t=7086
en 	嗯	c=7 d=0.0714064 t=7086
en en 	嗯嗯	c=0 d=3.64467e-10 t=7086
en na 	嗯呐	c=7 d=0.0851383 t=7086
er 	儿	c=1 d=1.67074e-09 t=7086
er ci 	二次	c=2 d=0.000259507 t=7086
er ci que ren 	二次确认	c=1 d=0.000128446 t=7086
er qie 	而且	c=7 d=0.567376 t=7086
fa 	发	c=3 d=5.06941e-05 t=7086
fa ba 	发吧	c=1 d=0.748264 t=7086
fa ban 	发版	c=6 d=0.0782981 t=7086
fa ban 	法办	c=1 d=4.15998e-06 t=7086
fa biao qing 	发表情	c=1 d=6.47816e-11 t=7086
fa bu 	发布	c=2 d=0.000134929 t=7086
fa chu lai 	发出来	c=1 d=0.00109719 t=7086
fa chu qu 	发出去	c=1 d=6.60902e-11 t=7086
fa dao 	发到	c=1 d=1.38809e-05 t=7086
fa guo qu 	发过去	c=1 d=1.58079e-05 t=7086
fa huo 	发货	c=1 d=0.293758 t=7086
fa huo di dian 	发货地点	c=1 d=0.290835 t=7086
fa huo yuan 	发货员	c=1 d=0.0584257 t=7086
fa ji ge 	发几个	c=1 d=0.0665368 t=7086
fa li 	法力	c=1 d=0.733446 t=7086
fa qun li 	发群里	c=0 d=3.19156e-07 t=7086
fa qun li mian 	发群里面	c=1 d=3.20756e-06 t=7086
fa sheng 	发生	c=2 d=0.20089 t=7086
fa sheng le 	发生了	c=0 d=0.020089 t=7086
fa sheng le yi cang 	发生了义仓	c=1 d=0.201896 t=7086
fa song 	发送	c=1 d=0.891366 t=7086
fa xia 	发下	c=1 d=2.4001e-06 t=7086
fa xian 	发现	c=11 d=0.000171346 t=7086
fa yi xia 	发一下	c=3 d=0.0277369 t=7086
fa zuo 	发作	c=1 d=1.16282e-10 t=7086
fan 	反	c=1 d=2.18296e-08 t=7086
fan hui 	返回	c=13 d=1.89656 t=7086
fan hui lai 	翻回来	c=1 d=0.00120654 t=7086
fan xian 	反显	c=2 d=6.16389e-06 t=7086
fan yi 	翻译	c=1 d=7.17556e-08 t=7086
fan zheng 	反正	c=2 d=0.0987849 t=7086
fang 	放	c=1 d=0.0293049 t=7086
fang 	方	c=2 d=0.458946 t=7086
fang an 	方案	c=1 d=7.63639e-05 t=7086
